Band Pull (slowly),10 repetitions ,bandPull.gif
Cat-Camel (slowly),10 repetitions ,cat-cow-pose-stretch-and-exercise.gif
Neck Stretch (slowly),10 repetitions total,neckstretch.gif
Overhead Band Stretch (slowly),8 repetitions,OverheadBandStretch.gif
Shoulder blade squeeze (slowly),6-8 repetitions,shoulderbladeSqueze.gif
